date	AAPL US Equity	FB US Equity	IBM US Equity	C US Equity	ORCL US Equity	KO US Equity	T US Equity	BAC US Equity	AMZN US Equity	JPM US Equity	PG US Equity	CVX US Equity	WMT US Equity	WFC US Equity	GE US Equity	BRK/A US Equity	CSCO US Equity	MSFT US Equity	GOOG US Equity	XOM US Equity	Merck & co 
19981231	5312448000		1.6887E+11	1.12193E+11	32870135808	1.6519E+11	1.06581E+11	1.03685E+11	17054841856		1.21117E+11	54160343040	1.53557E+11	65659564032	3.33672E+11	74321215488	92315435008	3.48106E+11		2.52866E+11	1.74083E+11
19990331	4543845376		1.6084E+11	1.61978E+11	53620555776	1.51431E+11	92668698624	1.22949E+11	27786070016	1.04215E+11	1.3011E+11	58158051328	1.91264E+11	57944846336	3.61952E+11	1.06048E+11	1.6378E+11	4.5819E+11		1.71311E+11	1.89406E+11
19990630	6755357696		2.33825E+11	1.60394E+11	35510013952	1.53076E+11	1.14104E+11	1.26312E+11	21040144384	1.0955E+11	1.17788E+11	62354632704	2.04706E+11	70564388864	3.70661E+11	1.08331E+11	1.83298E+11	4.60768E+11		1.8726E+11	1.73041E+11
19990930	10441884672		2.18115E+11	1.48137E+11	51964026880	1.19168E+11	1.74194E+11	95227797504	27241660416	94567661568	1.23347E+11	58243608576	1.87954E+11	65371856896	3.88607E+11	1.04414E+11	2.11877E+11	4.66216E+11		1.84512E+11	1.51495E+11
19991231	16686684160		1.92472E+11	2.09833E+11	95667503104	1.43969E+11	1.65524E+11	84178149376	26274924544	95839649792	1.44151E+11	56855973888	2.50801E+11	68598956032	5.08329E+11	83724754944	2.4531E+11	5.86085E+11		2.80116E+11	1.56485E+11
20000331	16686684160		2.0986E+11	2.01817E+11	1.94786E+11	1.16118E+11	1.43297E+11	86928474112	23447252992	1.068E+11	74223321088	60266475520	2.44021E+11	69206335488	5.12651E+11	84915027968	3.57849E+11	5.56962E+11		2.71528E+11	1.42961E+11
20000630	22093975552		1.92907E+11	2.03028E+11	2.01794E+11	1.42245E+11	1.49141E+11	70765142016	12905462784	84283088896	74109820928	55354404864	2.47243E+11	65453400064	5.24635E+11	86525919232	4.85366E+11	4.2264E+11		2.73482E+11	1.76217E+11
20000930	8643679232		1.97587E+11	2.42844E+11	2.54509E+11	1.36655E+11	1.68825E+11	85414404096	13687669760	87807057920	87354597376	54714900480	2.46765E+11	78534197248	5.72853E+11	81676197888	4.48356E+11	3.20621E+11		3.09731E+11	1.71037E+11
20001231	5136441856		1.49846E+11	2.56447E+11	1.47896E+11	1.51415E+11	1.61715E+11	74025369600	5557991424	87625760768	1.01961E+11	89899425792	2.02675E+11	95484338176	4.76116E+11	97835098112	3.64443E+11	2.30798E+11		3.01238E+11	2.16049E+11
20010331	7648159744		1.69028E+11	2.26418E+11	1.06589E+11	1.12314E+11	1.50312E+11	87708622848	3671004672	89092153344	81117077504	56323612672	2.53896E+11	85016272896	4.15798E+11	1.07967E+11	2.77873E+11	2.91813E+11		2.7945E+11	1.74379E+11
20010630	8148520448		1.96243E+11	2.6558E+11	85563121664	1.11937E+11	1.34678E+11	96115597312	5125002752	88459010048	82665660416	58141364224	2.31327E+11	79552552960	4.84324E+11	99906347008	1.14052E+11	3.92959E+11		2.98522E+11	1.46036E+11
20010930	5442800128		1.58001E+11	2.08341E+11	67874377728	1.16387E+11	1.58417E+11	92396331008	2219442944	67373580288	94314004480	54450348032	2.49703E+11	75826503680	3.69299E+11	1.05941E+11	1.39595E+11	2.75602E+11		2.69496E+11	1.51513E+11
20011231	7905655808		2.08438E+11	2.59906E+11	77109657600	1.17226E+11	1.31376E+11	98157748224	4038218496	71732510720	1.0256E+11	95633670144	2.29094E+11	73703170048	3.97832E+11	1.06954E+11	1.26701E+11	3.57949E+11		2.67594E+11	1.33637E+11
